iso3,gid,name,desert_share,dryland_share,humid_share,area_km2,pixels_classified,mean_dn_1992,mean_dn_2022,majority_arid,light_scopes,in_light_scope,dark_2022,cell
DZA,DZA.33_1,Ouargla,1.0,1.0,0.0,154230.3308,210063,1.8279,2.4473,True,,False,True,desert_dark
DZA,DZA.34_1,Oum el Bouaghi,0.0012,0.999,0.0,6267.5782,9003,1.6077,7.4298,False,,False,False,ordinary
DZA,DZA.35_1,Relizane,0.0,1.0,0.0,4871.1358,6994,2.4546,11.0185,False,,False,False,ordinary
DZA,DZA.36_1,Saïda,0.3549,1.0,0.0,6760.8592,9583,0.6753,4.1273,False,,False,True,anomalously_dark
DZA,DZA.37_1,Sétif,0.0103,0.867,0.0191,6662.3301,9606,2.9916,16.8865,False,,False,False,ordinary
DZA,DZA.38_1,Sidi Bel Abbès,0.4282,1.0,0.0,9374.5364,13283,1.3157,4.9622,False,,False,True,anomalously_dark
DZA,DZA.39_1,Skikda,0.0,0.0796,0.4189,4134.3854,6010,5.5696,13.2172,False,,False,False,ordinary
DZA,DZA.40_1,Souk Ahras,0.0,0.6528,0.083,4223.8466,6091,1.6189,6.9404,False,,False,False,ordinary
DZA,DZA.41_1,Tamanghasset,1.0,1.0,0.0,601522.1659,768803,0.0107,0.0927,True,dark;dark_wide,True,True,desert_dark
DZA,DZA.42_1,Tébessa,0.5054,1.0,0.0,13248.3613,18852,0.9203,3.7805,True,,False,True,desert_dark
DZA,DZA.43_1,Tiaret,0.445,1.0,0.0,20109.1385,28581,0.5701,2.923,False,,False,True,anomalously_dark
DZA,DZA.44_1,Tindouf,1.0,1.0,0.0,161560.6484,212876,0.0097,0.1171,True,dark;dark_wide,True,True,desert_dark
DZA,DZA.45_1,Tipaza,0.0,0.8044,0.0,1722.8118,2496,5.5798,16.7439,False,,False,False,ordinary
DZA,DZA.46_1,Tissemsilt,0.0,0.9963,0.0,3218.0368,4618,1.1651,6.4255,False,,False,False,ordinary
DZA,DZA.47_1,Tizi Ouzou,0.0,0.0,0.6568,2972.457,4315,5.7901,16.2395,False,,False,False,ordinary
DZA,DZA.48_1,Tlemcen,0.0,1.0,0.0,9063.3222,12845,2.265,8.519,False,,False,False,ordinary
TUN,TUN.1_1,Ariana,0.0,1.0,0.0,542.1614,790,16.2987,35.3432,False,,False,False,ordinary
TUN,TUN.2_1,Béja,0.0,0.7192,0.0371,3514.1917,5103,1.0196,6.6674,False,,False,False,ordinary
TUN,TUN.3_1,Ben Arous (Tunis Sud),0.0,1.0,0.0,695.3293,1009,15.142,33.233,False,,False,False,ordinary
TUN,TUN.4_1,Bizerte,0.0,0.629,0.002,3384.2813,4939,2.4303,8.3195,False,,False,False,ordinary
TUN,TUN.5_1,Gabès,1.0,1.0,0.0,7469.3343,10471,1.3236,5.0504,True,wide;dark_wide,True,True,desert_dark
TUN,TUN.6_1,Gafsa,1.0,1.0,0.0,7392.3668,10438,1.4219,5.6386,True,wide,True,True,desert_dark
TUN,TUN.7_1,Jendouba,0.0,0.3952,0.3512,3054.3438,4432,1.311,8.9638,False,,False,False,ordinary
TUN,TUN.8_1,Kairouan,0.6924,1.0,0.0,6619.0771,9483,1.6843,9.1833,True,,False,False,lit_desert
TUN,TUN.9_1,Kassérine,0.565,1.0,0.0,8053.9055,11484,0.9259,5.8077,True,,False,True,desert_dark
TUN,TUN.10_1,Kebili,1.0,1.0,0.0,21881.3094,30503,0.343,1.5308,True,narrow;wide;dark_wide,True,True,desert_dark
TUN,TUN.11_1,Le Kef,0.0,0.9641,0.0001,5038.1896,7256,0.7459,5.1544,False,,False,True,anomalously_dark
TUN,TUN.12_1,Mahdia,0.6506,1.0,0.0,2931.2974,4185,4.5217,15.0209,True,,False,False,lit_desert
TUN,TUN.13_1,Manubah,0.0,1.0,0.0,1010.2525,1469,5.9398,19.3945,False,,False,False,ordinary
TUN,TUN.14_1,Médenine,1.0,1.0,0.0,8644.9265,12033,2.4674,6.1576,True,wide;dark_wide,True,True,desert_dark
TUN,TUN.15_1,Monastir,0.0267,1.0,0.0,993.3254,1423,15.4884,33.1361,False,,False,False,ordinary
TUN,TUN.16_1,Nabeul,0.0,1.0,0.0,2857.3865,4149,9.4423,23.2167,False,,False,False,ordinary
TUN,TUN.17_1,Sfax,0.9986,1.0,0.0,7236.5751,10262,3.6932,12.5295,True,,False,False,lit_desert
TUN,TUN.18_1,Sidi Bou Zid,0.991,1.0,0.0,7383.0212,10483,0.8421,9.027,True,,False,False,lit_desert
TUN,TUN.19_1,Siliana,0.0336,1.0,0.0,4695.439,6764,0.5241,3.7848,False,dark_wide,True,True,anomalously_dark
TUN,TUN.20_1,Sousse,0.181,1.0,0.0,2676.2097,3847,5.2117,19.5371,False,,False,False,ordinary
TUN,TUN.21_1,Tataouine,1.0,1.0,0.0,39532.0469,54336,0.3924,1.271,True,narrow;wide;dark_wide,True,True,desert_dark
TUN,TUN.22_1,Tozeur,1.0,1.0,0.0,6142.0004,8625,0.7588,2.6039,True,narrow;wide;dark_wide,True,True,desert_dark
TUN,TUN.23_1,Tunis,0.0,1.0,0.0,273.6893,398,47.0369,58.7132,False,,False,False,ordinary
TUN,TUN.24_1,Zaghouan,0.0,1.0,0.0,2854.9484,4127,0.9059,10.534,False,,False,False,ordinary
LBY,LBY.1_1,Al Butnan,1.0,1.0,0.0,82819.7537,111566,0.1026,0.4599,True,dark_wide,True,True,desert_dark
LBY,LBY.2_1,Al Jabal al Akhdar,0.6648,1.0,0.0,8532.6865,11748,1.3368,3.9621,True,,False,True,desert_dark
LBY,LBY.3_1,Al Jabal al Gharbi,1.0,1.0,0.0,85607.5463,115643,0.2364,0.7286,True,dark_wide,True,True,desert_dark
LBY,LBY.4_1,Al Jifarah,1.0,1.0,0.0,1716.4598,2371,9.5834,24.7594,True,,False,False,lit_desert
LBY,LBY.5_1,Al Jufrah,1.0,1.0,0.0,111251.9319,146772,0.3774,0.2571,True,dark_wide,True,True,desert_dark
LBY,LBY.6_1,Al Kufrah,1.0,1.0,0.0,429889.4468,548723,0.0185,0.0477,True,dark;dark_wide,True,True,desert_dark
LBY,LBY.7_1,Al Marj,0.7335,1.0,0.0,10070.5283,13836,0.4515,1.8748,True,,False,True,desert_dark
LBY,LBY.8_1,Al Marqab,1.0,1.0,0.0,8221.3517,11341,4.2625,10.3684,True,,False,False,lit_desert
LBY,LBY.9_1,Al Wahat,1.0,1.0,0.0,194086.9298,258392,2.4217,1.3965,True,,False,True,desert_dark
LBY,LBY.10_1,An Nuqat al Khams,1.0,1.0,0.0,6341.1881,8778,3.0488,8.0166,True,,False,False,lit_desert
LBY,LBY.11_1,Az Zawiyah,1.0,1.0,0.0,3192.6001,4410,7.2477,15.8881,True,,False,False,lit_desert
LBY,LBY.12_1,Benghazi,0.9353,1.0,0.0,15328.4446,20999,2.8493,8.1276,True,,False,False,lit_desert
LBY,LBY.13_1,Darnah,0.9667,1.0,0.0,18505.2305,25420,0.4602,1.479,True,,False,True,desert_dark
LBY,LBY.14_1,Ghat,1.0,1.0,0.0,52180.4527,67778,0.1047,0.1704,True,dark_wide,True,True,desert_dark
LBY,LBY.15_1,Misratah,1.0,1.0,0.0,28241.2767,38596,1.0338,2.0233,True,,False,True,desert_dark
LBY,LBY.16_1,Murzuq,1.0,1.0,0.0,267357.2921,343301,0.0282,0.0865,True,dark_wide,True,True,desert_dark
LBY,LBY.17_1,Nalut,1.0,1.0,0.0,67603.474,91272,0.1645,0.6961,True,dark_wide,True,True,desert_dark
LBY,LBY.18_1,Sabha,1.0,1.0,0.0,17159.5065,22485,0.6769,1.6019,True,,False,True,desert_dark
LBY,LBY.19_1,Surt,1.0,1.0,0.0,78672.8263,106027,0.3263,0.5509,True,dark_wide,True,True,desert_dark
LBY,LBY.20_1,Tripoli,0.8202,1.0,0.0,2435.0681,3371,16.6817,35.6844,True,,False,False,lit_desert
