iso3,measure,measure_note,window,first_year,last_year,n_years,percent_per_year,r_squared,half_life_years,direction,monotone,trajectory,trajectory_reason
ALA,total,Theil T over all land pixels - both margins together,full,1992,2022,31,-0.8127699417493148,0.2276445978264356,85.2820884428985,falling,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ALA,total,Theil T over all land pixels - both margins together,dmsp,1992,2013,22,-1.8261544486842658,0.42831549105039646,37.956657010000114,falling,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ALA,total,Theil T over all land pixels - both margins together,viirs,2014,2022,9,1.1988690726041529,0.5461627091736516,,rising,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ALA,intensive,Theil T over lit pixels only - convergence among the already lit,full,1992,2022,31,0.5853905949257904,0.08612730487714464,,rising,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ALA,intensive,Theil T over lit pixels only - convergence among the already lit,dmsp,1992,2013,22,-0.395108777377587,0.01995654669588647,175.43198740369593,falling,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ALA,intensive,Theil T over lit pixels only - convergence among the already lit,viirs,2014,2022,9,3.7851588545663497,0.6488242863624933,,rising,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ALA,extensive,share of land pixels that are lit - light reaching new ground,full,1992,2022,31,1.5834839552051183,0.2655222409571579,,rising,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ALA,extensive,share of land pixels that are lit - light reaching new ground,dmsp,1992,2013,22,2.8982569842196733,0.34128667377043986,,rising,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ALA,extensive,share of land pixels that are lit - light reaching new ground,viirs,2014,2022,9,-0.47231946096738453,0.03637514476314871,146.75388965347116,falling,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ALA,between_share,share of Theil T lying between admin-1 units,full,1992,2022,31,-0.2571251110888342,0.12692567621564255,269.5758409689008,falling,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ALA,between_share,share of Theil T lying between admin-1 units,dmsp,1992,2013,22,0.28713279610429265,0.13084387032078215,,rising,False,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ALA,between_share,share of Theil T lying between admin-1 units,viirs,2014,2022,9,-2.093491018834825,0.7488852893256681,33.10963239506661,falling,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
ALB,total,Theil T over all land pixels - both margins together,full,1992,2022,31,-2.2035792833692636,0.7424518454949336,31.45551357245137,falling,True,extensive spreader,total falls only because light reaches new ground; inequality among lit places rises
