iso3,gid,name,desert_share,dryland_share,humid_share,area_km2,pixels_classified,mean_dn_1992,mean_dn_2022,majority_arid,light_scopes,in_light_scope,dark_2022,cell
BDI,BDI.1_1,Bubanza,0.0,0.3463,0.6537,1052.4381,1233,0.0,0.3752,False,,False,True,anomalously_dark
BDI,BDI.2_1,Bujumbura Mairie,0.0,0.6483,0.3517,201.3895,236,16.0808,32.3857,False,,False,False,ordinary
BDI,BDI.3_1,Bujumbura Rural,0.0,0.2133,0.7867,1563.9956,1833,0.075,2.3013,False,,False,False,ordinary
BDI,BDI.4_1,Bururi,0.0,0.0,1.0,3089.1157,3622,0.0,0.0794,False,,False,True,anomalously_dark
BDI,BDI.5_1,Cankuzo,0.0,0.0,1.0,1890.6012,2215,0.0,0.0228,False,,False,True,anomalously_dark
BDI,BDI.6_1,Cibitoke,0.0,0.064,0.936,1560.7251,1828,0.0,0.1951,False,,False,True,anomalously_dark
BDI,BDI.7_1,Gitega,0.0,0.0,1.0,1901.0354,2228,0.028,0.6197,False,,False,True,anomalously_dark
BDI,BDI.8_1,Karuzi,0.0,0.0,1.0,1402.3788,1643,0.0,0.0028,False,,False,True,anomalously_dark
BDI,BDI.9_1,Kayanza,0.0,0.0,1.0,1179.744,1382,0.0,0.1808,False,,False,True,anomalously_dark
BDI,BDI.10_1,Kirundo,0.0,0.013,0.987,1772.8529,2076,0.0,0.1564,False,,False,True,anomalously_dark
BDI,BDI.11_1,Makamba,0.0,0.0,1.0,2541.3346,2981,0.0,0.0266,False,,False,True,anomalously_dark
BDI,BDI.12_1,Muramvya,0.0,0.0,1.0,667.3901,782,0.0,0.0513,False,,False,True,anomalously_dark
BDI,BDI.13_1,Muyinga,0.0,0.0,1.0,1787.8853,2094,0.0,0.2711,False,,False,True,anomalously_dark
BDI,BDI.14_1,Mwaro,0.0,0.0,1.0,818.269,959,0.0,0.0242,False,,False,True,anomalously_dark
BDI,BDI.15_1,Ngozi,0.0,0.0,1.0,1408.685,1650,0.0,0.5741,False,,False,True,anomalously_dark
BDI,BDI.16_1,Rutana,0.0,0.0,1.0,1848.2197,2167,0.0,0.1285,False,,False,True,anomalously_dark
BDI,BDI.17_1,Ruyigi,0.0,0.0,1.0,2249.2466,2636,0.0,0.1025,False,,False,True,anomalously_dark
BEN,BEN.1_1,Alibori,0.0,1.0,0.0,26857.8409,32029,0.016,0.1022,False,,False,True,anomalously_dark
BEN,BEN.2_1,Atakora,0.0,0.9045,0.0955,20517.8338,24416,0.0,0.1394,False,,False,True,anomalously_dark
BEN,BEN.3_1,Atlantique,0.0,0.0,1.0,3195.717,3763,0.7739,7.9057,False,,False,False,ordinary
BEN,BEN.4_1,Borgou,0.0,0.5042,0.4958,25655.8758,30448,0.0397,0.4024,False,,False,True,anomalously_dark
BEN,BEN.5_1,Collines,0.0,0.0065,0.9935,14016.5311,16560,0.0071,0.3425,False,,False,True,anomalously_dark
BEN,BEN.6_1,Donga,0.0,0.0555,0.9445,11130.9763,13192,0.0056,0.2641,False,,False,True,anomalously_dark
BEN,BEN.7_1,Kouffo,0.0,0.0,1.0,2421.8614,2854,0.0623,1.4901,False,,False,True,anomalously_dark
BEN,BEN.8_1,Littoral,0.0,0.0,1.0,72.2202,85,44.04,61.8482,False,,False,False,ordinary
BEN,BEN.9_1,Mono,0.0,0.0,1.0,1584.8833,1866,0.2028,2.8951,False,,False,False,ordinary
BEN,BEN.10_1,Ouémé,0.0,0.0,1.0,1281.5237,1509,2.7588,11.7343,False,,False,False,ordinary
BEN,BEN.11_1,Plateau,0.0,0.0,1.0,3314.8505,3908,0.1428,1.7693,False,,False,True,anomalously_dark
BEN,BEN.12_1,Zou,0.0,0.0,1.0,5225.0727,6161,0.1717,1.3795,False,,False,True,anomalously_dark
COM,COM.3_1,Mwali,0.0,0.0,1.0,217.2576,260,0.0,0.3272,False,,False,True,anomalously_dark
COM,COM.2_1,Njazídja,0.0,0.0,1.0,1025.2298,1224,0.2181,0.9867,False,,False,True,anomalously_dark
COM,COM.1_1,Nzwani,0.0,0.0,1.0,433.0079,518,0.2396,0.7208,False,,False,True,anomalously_dark
CPV,CPV.1_1,Boa Vista,1.0,1.0,0.0,628.1041,764,0.0301,2.2585,True,,False,False,lit_desert
CPV,CPV.2_1,Brava,0.5477,1.0,0.0,69.4636,84,0.3944,5.3873,True,,False,False,lit_desert
CPV,CPV.3_1,Maio,1.0,1.0,0.0,275.7448,334,0.0543,1.8495,True,,False,False,lit_desert
CPV,CPV.4_1,Mosteiros,0.2424,1.0,0.0,81.8134,99,0.0,2.9878,False,,False,False,ordinary
CPV,CPV.5_1,Paúl,0.2586,1.0,0.0,47.4373,58,0.0,3.3556,False,,False,False,ordinary
CPV,CPV.6_1,Porto Novo,0.8334,1.0,0.0,579.3329,708,0.0713,1.5293,True,,False,True,desert_dark
