iso3,gid,name,desert_share,dryland_share,humid_share,area_km2,pixels_classified,mean_dn_1992,mean_dn_2022,majority_arid,light_scopes,in_light_scope,dark_2022,cell
BLZ,BLZ.1_1,Belize,0.0,0.0,1.0,3359.2684,4117,0.5192,2.721,False,,False,True,anomalously_dark
BLZ,BLZ.2_1,Cayo,0.0,0.0,1.0,5306.0463,6484,0.1652,2.4747,False,,False,True,anomalously_dark
BLZ,BLZ.3_1,Corozal,0.0,0.0,1.0,1995.9167,2455,0.738,4.7955,False,,False,True,anomalously_dark
BLZ,BLZ.4_1,Orange Walk,0.0,0.0,1.0,4687.1231,5751,0.1978,1.7298,False,,False,True,anomalously_dark
BLZ,BLZ.5_1,Stann Creek,0.0,0.0,1.0,2328.5327,2843,0.0843,2.2956,False,,False,True,anomalously_dark
BLZ,BLZ.6_1,Toledo,0.0,0.0,1.0,4403.5381,5362,0.059,0.6297,False,,False,True,anomalously_dark
CRI,CRI.1_1,Alajuela,0.0,0.0,1.0,9792.9909,11649,2.401,7.9317,False,,False,False,ordinary
CRI,CRI.2_1,Cartago,0.0,0.0,1.0,3099.9548,3679,4.2419,8.8691,False,,False,False,ordinary
CRI,CRI.3_1,Guanacaste,0.0,0.0,1.0,10175.9033,12100,0.7209,6.1368,False,,False,True,anomalously_dark
CRI,CRI.4_1,Heredia,0.0,0.0,1.0,2640.0867,3139,3.9041,7.9069,False,,False,False,ordinary
CRI,CRI.5_1,Limón,0.0,0.0,1.0,9184.1122,10904,0.706,4.2805,False,,False,True,anomalously_dark
CRI,CRI.6_1,Puntarenas,0.0,0.0,1.0,11250.253,13327,0.6819,5.5937,False,,False,True,anomalously_dark
CRI,CRI.7_1,San José,0.0,0.0,1.0,4968.5069,5893,4.7052,10.7946,False,,False,False,ordinary
SLV,SLV.1_1,Ahuachapán,0.0,0.0,1.0,1225.0651,1475,1.8723,7.4763,False,,False,True,anomalously_dark
SLV,SLV.2_1,Cabañas,0.0,0.0,1.0,1095.4096,1319,0.6866,4.3142,False,,False,True,anomalously_dark
SLV,SLV.3_1,Chalatenango,0.0,0.0,1.0,1948.7126,2349,0.5074,4.3511,False,,False,True,anomalously_dark
SLV,SLV.4_1,Cuscatlán,0.0,0.0,1.0,675.3055,813,3.9762,15.7967,False,,False,False,ordinary
SLV,SLV.5_1,La Libertad,0.0,0.0,1.0,1629.7549,1961,7.3395,15.6368,False,,False,False,ordinary
SLV,SLV.6_1,La Paz,0.0,0.0,1.0,1181.2528,1420,3.6613,14.3822,False,,False,False,ordinary
SLV,SLV.7_1,La Unión,0.0,0.0,1.0,1994.4273,2398,0.6061,5.5815,False,,False,True,anomalously_dark
SLV,SLV.8_1,Morazán,0.0,0.0,1.0,1259.6015,1516,0.2041,4.3548,False,,False,True,anomalously_dark
SLV,SLV.9_1,San Miguel,0.0,0.0,1.0,2069.995,2489,1.7494,7.8351,False,,False,False,ordinary
SLV,SLV.10_1,San Salvador,0.0,0.0,1.0,921.4439,1109,20.436,29.9711,False,,False,False,ordinary
SLV,SLV.11_1,San Vicente,0.0,0.0,1.0,1206.4157,1451,1.3934,7.4015,False,,False,True,anomalously_dark
SLV,SLV.12_1,Santa Ana,0.0,0.0077,0.9923,2048.3657,2469,2.7191,8.9776,False,,False,False,ordinary
SLV,SLV.13_1,Sonsonate,0.0,0.0,1.0,1195.9791,1439,3.4416,11.1342,False,,False,False,ordinary
SLV,SLV.14_1,Usulután,0.0,0.0,1.0,1978.9293,2378,0.7694,5.9848,False,,False,True,anomalously_dark
NIC,NIC.1_1,Atlántico Norte,0.0,0.0,1.0,32023.4045,38580,0.0097,0.1719,False,,False,True,anomalously_dark
NIC,NIC.2_1,Atlántico Sur,0.0,0.0,1.0,25966.9302,31077,0.0165,0.1277,False,,False,True,anomalously_dark
NIC,NIC.3_1,Boaco,0.0,0.0,1.0,4176.813,5001,0.0742,1.0199,False,,False,True,anomalously_dark
NIC,NIC.4_1,Carazo,0.0,0.0,1.0,1055.9226,1261,1.3254,7.115,False,,False,True,anomalously_dark
NIC,NIC.5_1,Chinandega,0.0,0.0,1.0,4773.5247,5724,0.5659,3.5046,False,,False,True,anomalously_dark
NIC,NIC.6_1,Chontales,0.0,0.0,1.0,6274.0286,7502,0.1095,1.0208,False,,False,True,anomalously_dark
NIC,NIC.7_1,Estelí,0.0,0.0014,0.9986,2350.4283,2822,0.4041,2.7914,False,,False,True,anomalously_dark
NIC,NIC.8_1,Granada,0.0,0.0,1.0,1012.8358,1210,1.7579,7.2047,False,,False,True,anomalously_dark
NIC,NIC.9_1,Jinotega,0.0,0.0,1.0,9870.0083,11878,0.0311,0.4339,False,,False,True,anomalously_dark
NIC,NIC.10_1,Lago Nicaragua,0.0,0.0,1.0,7749.2656,9247,0.009,0.2802,False,,False,True,anomalously_dark
