iso3,gid,name,desert_share,dryland_share,humid_share,area_km2,pixels_classified,mean_dn_1992,mean_dn_2022,majority_arid,light_scopes,in_light_scope,dark_2022,cell
KGZ,KGZ.1_1,Batken,0.1069,0.7462,0.2538,16524.7745,25051,0.3978,1.4764,False,,False,True,anomalously_dark
KGZ,KGZ.2_1,Biškek,0.0,1.0,0.0,193.5054,307,45.3369,59.3038,False,,False,False,ordinary
KGZ,KGZ.3_1,Chüy,0.0,0.5876,0.4124,19656.8217,31055,1.7281,4.9404,False,,False,True,anomalously_dark
KGZ,KGZ.4_1,Jalal-Abad,0.0,0.5497,0.4503,33232.3522,51662,0.6063,1.9678,False,,False,True,anomalously_dark
KGZ,KGZ.5_1,Naryn,0.0003,0.9056,0.0944,45056.4313,69830,0.0732,0.6308,False,,False,True,anomalously_dark
KGZ,KGZ.7_1,Osh,0.005,0.8482,0.1518,29114.5872,44303,0.7101,2.1066,False,,False,True,anomalously_dark
KGZ,KGZ.6_1,Osh (city),0.0,1.0,0.0,60.1223,92,46.5323,60.7543,False,,False,False,ordinary
KGZ,KGZ.8_1,Talas,0.0,0.5799,0.4201,11370.6613,17913,0.1296,2.4291,False,,False,True,anomalously_dark
KGZ,KGZ.9_1,Ysyk-Köl,0.0223,0.776,0.224,42241.2593,66276,0.144,1.1234,False,,False,True,anomalously_dark
TJK,TJK.5_1,Districts of Republican Subordin,0.0007,0.5609,0.4391,28346.5701,42374,1.2236,2.309,False,,False,True,anomalously_dark
TJK,TJK.1_1,Dushanbe,0.0,1.0,0.0,167.9556,250,43.6424,59.2116,False,,False,False,ordinary
TJK,TJK.2_1,Gorno-Badakhshan,0.2668,0.6896,0.3104,63312.6771,93651,0.0021,0.0505,False,,False,True,anomalously_dark
TJK,TJK.3_1,Khatlon,0.2609,0.7804,0.2196,23887.5521,35203,1.8566,3.5441,False,,False,True,anomalously_dark
TJK,TJK.4_1,Sughd,0.1668,0.8034,0.1966,26383.4256,39942,1.7816,2.8571,False,,False,True,anomalously_dark
TKM,TKM.1_1,Ahal,0.9591,1.0,0.0,92992.1745,138251,0.2746,1.5276,True,,False,True,desert_dark
TKM,TKM.2_1,Aşgabat,0.925,1.0,0.0,967.2251,1428,17.9814,49.8649,True,,False,False,lit_desert
TKM,TKM.3_1,Balkan,0.9842,1.0,0.0,136432.9792,207213,0.1688,0.9128,True,,False,True,desert_dark
TKM,TKM.6_1,Daşoguz,1.0,1.0,0.0,76662.0851,118365,0.4948,0.7805,True,,False,True,desert_dark
TKM,TKM.4_1,Lebap,0.993,1.0,0.0,96343.9878,144114,0.5179,1.252,True,,False,True,desert_dark
TKM,TKM.5_1,Mary,0.9211,1.0,0.0,86195.717,126004,0.6833,1.2946,True,,False,True,desert_dark
UZB,UZB.1_1,Andijon,0.4705,1.0,0.0,4490.4994,6895,17.5303,20.4824,False,,False,False,ordinary
UZB,UZB.2_1,Buxoro,1.0,1.0,0.0,40420.5509,61556,2.189,2.715,True,,False,True,desert_dark
UZB,UZB.3_1,Farg'ona,0.9716,1.0,0.0,6704.7991,10248,13.1202,15.7905,True,,False,False,lit_desert
UZB,UZB.4_1,Jizzax,0.1177,0.9999,0.0001,21368.8154,32629,1.3107,2.1871,False,,False,True,anomalously_dark
UZB,UZB.8_1,Namangan,0.4506,0.909,0.091,7546.7906,11639,6.3831,10.4126,False,,False,False,ordinary
UZB,UZB.9_1,Navoiy,0.9726,1.0,0.0,112176.6625,175431,0.5626,0.7206,True,,False,True,desert_dark
UZB,UZB.5_1,Qaraqalpaqstan,1.0,1.0,0.0,164817.9737,263749,0.1989,0.2733,True,,False,True,desert_dark
UZB,UZB.6_1,Qashqadaryo,0.5343,0.9665,0.0335,28124.7353,42017,4.4389,6.7167,True,,False,False,lit_desert
UZB,UZB.10_1,Samarqand',0.2578,1.0,0.0,14342.2979,21701,4.8684,6.5667,False,,False,True,anomalously_dark
UZB,UZB.11_1,Sirdaryo,0.0,1.0,0.0,4897.2843,7491,8.1043,10.0806,False,,False,False,ordinary
UZB,UZB.12_1,Surxondaryo,0.4402,0.9368,0.0632,19886.0432,29387,3.3066,4.2142,False,,False,True,anomalously_dark
UZB,UZB.14_1,Toshkent,0.0,0.6423,0.3577,15119.3074,23392,8.3947,11.3851,False,,False,False,ordinary
UZB,UZB.13_1,Toshkent Shahri,0.0,1.0,0.0,325.657,504,58.6972,62.1948,False,,False,False,ordinary
UZB,UZB.7_1,Xorazm,1.0,1.0,0.0,7294.1725,11303,5.266,6.9662,True,,False,False,lit_desert
PRK,PRK.1_1,Chagang-do,0.0,0.0,1.0,16695.1285,25650,0.0256,0.2221,False,,False,True,anomalously_dark
PRK,PRK.2_1,Hamgyŏng-bukto,0.0,0.0,1.0,15834.1727,24705,0.1591,0.3017,False,,False,True,anomalously_dark
PRK,PRK.3_1,Hamgyŏng-namdo,0.0,0.0,1.0,18490.5019,28192,0.0385,0.1811,False,,False,True,anomalously_dark
PRK,PRK.4_1,Hwanghae-bukto,0.0,0.0,1.0,8240.0289,12267,0.06,0.1898,False,,False,True,anomalously_dark
PRK,PRK.5_1,Hwanghae-namdo,0.0,0.0,1.0,8559.4474,12676,0.0099,0.1296,False,,False,True,anomalously_dark
