year,scope,zeros,measure,grouping,total,between,within,between_share,within_share,between_deleg_within_gov,residual,n_groups
2017,all,zeros_included,theil_l,municipality,,,,,,,,0
2018,all,zeros_included,theil_l,municipality,,,,,,,,0
2019,all,zeros_included,theil_l,municipality,,,,,,,,0
2020,all,zeros_included,theil_l,municipality,,,,,,,,0
2021,all,zeros_included,theil_l,municipality,,,,,,,,0
2022,all,zeros_included,theil_l,municipality,,,,,,,,0
1992,all,lit_only,theil_l,nested,0.2947749789165329,0.0247476767347504,0.20826871096603986,0.08395446867882851,0.7065345631828956,0.06175859121574241,2.7755575615628914e-16,98
1993,all,lit_only,theil_l,nested,0.27131590166854186,0.022833722258514256,0.19067881420512153,0.08415917429863547,0.7027926230364038,0.05780336520490503,1.0547118733938987e-15,98
1994,all,lit_only,theil_l,nested,0.3394723794146144,0.02771743110986489,0.24231694293805106,0.08164856050339289,0.7138045909829306,0.06943800536669495,3.497202527569243e-15,98
1995,all,lit_only,theil_l,nested,0.23563646120897727,0.01906185571023843,0.16543285856382453,0.08089518749533917,0.7020681676979873,0.05114174693490761,6.689093723366568e-15,98
1996,all,lit_only,theil_l,nested,0.22551291510522442,0.01794979799615507,0.15731048423631294,0.07959543242913467,0.6975675169775168,0.050252632872750023,6.38378239159465e-15,98
1997,all,lit_only,theil_l,nested,0.264424514975971,0.01940967778628239,0.19072304071450205,0.07340347315394036,0.7212759404393105,0.05429179647518058,5.995204332975845e-15,98
1998,all,lit_only,theil_l,nested,0.2606176696177369,0.01791936241197242,0.18814822995534963,0.06875728126283913,0.72193197886896,0.05455007725040849,6.38378239159465e-15,98
1999,all,lit_only,theil_l,nested,0.27267844932513696,0.019351105971122728,0.1975860267536681,0.07096675963581123,0.7246118174820263,0.055741316600339944,6.217248937900877e-15,98
2000,all,lit_only,theil_l,nested,0.25625869167075177,0.018244736546053575,0.18144834251787229,0.0711965569913036,0.7080670760272284,0.056565612606819665,6.217248937900877e-15,98
2001,all,lit_only,theil_l,nested,0.23295789931633012,0.016204876367085126,0.16315864647140474,0.06956139463242997,0.7003782526809876,0.05359437647783578,4.468647674116255e-15,98
2002,all,lit_only,theil_l,nested,0.2484146117150658,0.016463156412845955,0.17655625299767283,0.06627289876059855,0.710732157737101,0.055395202304542646,4.3576253716537394e-15,98
2003,all,lit_only,theil_l,nested,0.3313383976166244,0.022061465845053516,0.2429135705454221,0.06658288325091669,0.7331283433877337,0.06636336122614524,3.552713678800501e-15,98
2004,all,lit_only,theil_l,nested,0.3067147606691112,0.021264895762711195,0.22011886647874201,0.06933117831147392,0.7176663620575137,0.06533099842765401,3.9968028886505635e-15,98
2005,all,lit_only,theil_l,nested,0.29836922999388177,0.022167547884931357,0.21399949343504784,0.07429569022712534,0.7172304377346016,0.06220218867389889,3.6637359812630166e-15,98
2006,all,lit_only,theil_l,nested,0.2828452042221622,0.02188293214955936,0.20227270332703573,0.07736716699771688,0.7151357007565157,0.0586895687455629,4.218847493575595e-15,98
2007,all,lit_only,theil_l,nested,0.2730923545279249,0.021023127503859436,0.19514512504636122,0.07698175051513471,0.7145755705380129,0.05692410197769985,4.385380947269368e-15,98
2008,all,lit_only,theil_l,nested,0.252890367158645,0.019750078396408903,0.18141216026880372,0.07809739302572621,0.7173549641572506,0.05172812849342862,3.774758283725532e-15,98
2009,all,lit_only,theil_l,nested,0.26194393587975884,0.019705701796315967,0.18805949768240726,0.07522870010383273,0.7179379703935309,0.05417873640103146,4.163336342344337e-15,98
2010,all,lit_only,theil_l,nested,0.22694597630851437,0.016199114281662614,0.15674988740437984,0.07137872433411753,0.6906925161400141,0.05399697462246411,7.827072323607354e-15,98
2011,all,lit_only,theil_l,nested,0.21764693643421634,0.015540372392346666,0.15012294599050213,0.07140175114315811,0.6897544640417059,0.051983618051360175,7.382983113757291e-15,98
2012,all,lit_only,theil_l,nested,0.2242964133480187,0.01647608379688438,0.157222351870098,0.07345674213399062,0.7009579400904263,0.050597977681029735,6.5780714209040525e-15,98
2013,all,lit_only,theil_l,nested,0.24434930998117899,0.017465981384348774,0.17487519579506086,0.071479560902767,0.7156770600601681,0.0520081328017639,5.440092820663267e-15,98
2014,all,lit_only,theil_l,nested,0.24510289856681003,0.01736753264776992,0.17664346544368345,0.07085812835883655,0.7206910504794951,0.05109190047535137,5.3013149425851225e-15,98
2015,all,lit_only,theil_l,nested,0.272899666784868,0.01613756452575324,0.2051346403802493,0.059133690839112636,0.7516851991686778,0.051627461878860983,4.440892098500626e-15,98
2016,all,lit_only,theil_l,nested,0.27503552872533354,0.01604810974073595,0.2068419977475532,0.05834922424427036,0.7520555569899394,0.05214542123704004,4.3298697960381105e-15,98
2017,all,lit_only,theil_l,nested,0.3137453162110042,0.01714423927668545,0.24156299051979205,0.05464380945580516,0.7699333760167845,0.055038086414522784,3.941291737419306e-15,98
2018,all,lit_only,theil_l,nested,0.3150474605995932,0.016804739533525077,0.24157326586070987,0.05334034275833416,0.7667837264929911,0.05666945520535401,4.218847493575595e-15,98
2019,all,lit_only,theil_l,nested,0.31381354067081707,0.01763676031182389,0.24188083398286314,0.05620139995910639,0.7707788308490817,0.05429594637612588,4.163336342344337e-15,98
2020,all,lit_only,theil_l,nested,0.3264141748116334,0.017879054375848143,0.2529115219927076,0.054774135915407966,0.7748178281125734,0.055623598443073595,3.9968028886505635e-15,98
2021,all,lit_only,theil_l,nested,0.3366633894405636,0.018557952673876242,0.2606538570190975,0.05512316829196708,0.7742269138685622,0.05745157974758614,3.774758283725532e-15,98
2022,all,lit_only,theil_l,nested,0.3421636519355422,0.018621064394516447,0.2653799907643428,0.05442151522869629,0.7755937524723867,0.05816259677667932,3.608224830031759e-15,98
1992,all,zeros_included,theil_l,nested,,,,,,,,0
1993,all,zeros_included,theil_l,nested,,,,,,,,0
1994,all,zeros_included,theil_l,nested,,,,,,,,0
1995,all,zeros_included,theil_l,nested,,,,,,,,0
1996,all,zeros_included,theil_l,nested,,,,,,,,0
1997,all,zeros_included,theil_l,nested,,,,,,,,0
1998,all,zeros_included,theil_l,nested,,,,,,,,0
1999,all,zeros_included,theil_l,nested,,,,,,,,0
2000,all,zeros_included,theil_l,nested,,,,,,,,0
2001,all,zeros_included,theil_l,nested,,,,,,,,0
2002,all,zeros_included,theil_l,nested,,,,,,,,0
2003,all,zeros_included,theil_l,nested,,,,,,,,0
2004,all,zeros_included,theil_l,nested,,,,,,,,0
2005,all,zeros_included,theil_l,nested,,,,,,,,0
2006,all,zeros_included,theil_l,nested,,,,,,,,0
2007,all,zeros_included,theil_l,nested,,,,,,,,0
2008,all,zeros_included,theil_l,nested,,,,,,,,0
2009,all,zeros_included,theil_l,nested,,,,,,,,0
2010,all,zeros_included,theil_l,nested,,,,,,,,0
2011,all,zeros_included,theil_l,nested,,,,,,,,0
2012,all,zeros_included,theil_l,nested,,,,,,,,0
2013,all,zeros_included,theil_l,nested,,,,,,,,0
2014,all,zeros_included,theil_l,nested,,,,,,,,0
2015,all,zeros_included,theil_l,nested,,,,,,,,0
2016,all,zeros_included,theil_l,nested,,,,,,,,0
2017,all,zeros_included,theil_l,nested,,,,,,,,0
2018,all,zeros_included,theil_l,nested,,,,,,,,0
2019,all,zeros_included,theil_l,nested,,,,,,,,0
2020,all,zeros_included,theil_l,nested,,,,,,,,0
2021,all,zeros_included,theil_l,nested,,,,,,,,0
2022,all,zeros_included,theil_l,nested,,,,,,,,0
1992,all,lit_only,theil_l,region,0.2947749789165329,0.0247476767347504,0.2700273021817816,0.08395446867882851,0.9160455313211684,,8.881784197001252e-16,5
1993,all,lit_only,theil_l,region,0.27131590166854186,0.022833722258514256,0.24848217941003298,0.08415917429863547,0.9158408257013844,,5.384581669432009e-15,5
1994,all,lit_only,theil_l,region,0.3394723794146144,0.02771743110986489,0.31175494830477596,0.08164856050339289,0.9183514394966851,,2.6478819137309983e-14,5
1995,all,lit_only,theil_l,region,0.23563646120897727,0.01906185571023843,0.21657460549874258,0.08089518749533917,0.9191048125046767,,3.747002708109903e-15,5
1996,all,lit_only,theil_l,region,0.22551291510522442,0.01794979799615507,0.20756311710907843,0.07959543242913467,0.9204045675709056,,9.076073226310655e-15,5
1997,all,lit_only,theil_l,region,0.264424514975971,0.01940967778628239,0.24501483718970435,0.07340347315394036,0.926596526846119,,1.5709655798445965e-14,5
1998,all,lit_only,theil_l,region,0.2606176696177369,0.01791936241197242,0.24269830720578467,0.06875728126283913,0.9312427187372383,,2.015054789694659e-14,5
1999,all,lit_only,theil_l,region,0.27267844932513696,0.019351105971122728,0.2533273433540396,0.07096675963581123,0.9290332403642818,,2.5368596112684827e-14,5
2000,all,lit_only,theil_l,region,0.25625869167075177,0.018244736546053575,0.23801395512471812,0.0711965569913036,0.9288034430087742,,1.992850329202156e-14,5
2001,all,lit_only,theil_l,region,0.23295789931633012,0.016204876367085126,0.21675302294926022,0.06956139463242997,0.9304386053676353,,1.5210055437364645e-14,5
2002,all,lit_only,theil_l,region,0.2484146117150658,0.016463156412845955,0.23195145530223937,0.06627289876059855,0.9337271012394801,,1.9539925233402755e-14,5
2003,all,lit_only,theil_l,region,0.3313383976166244,0.022061465845053516,0.3092769317716195,0.06658288325091669,0.93341711674923,,4.8627768478581856e-14,5
2004,all,lit_only,theil_l,region,0.3067147606691112,0.021264895762711195,0.28544986490645724,0.06933117831147392,0.9306688216887128,,5.723199691942682e-14,5
2005,all,lit_only,theil_l,region,0.29836922999388177,0.022167547884931357,0.27620168210900065,0.07429569022712534,0.925704309773043,,5.0237591864288333e-14,5
2006,all,lit_only,theil_l,region,0.2828452042221622,0.02188293214955936,0.26096227207264794,0.07736716699771688,0.9226328330024426,,4.5075054799781356e-14,5
2007,all,lit_only,theil_l,region,0.2730923545279249,0.021023127503859436,0.25206922702410806,0.07698175051513471,0.9230182494850212,,4.2577052994374753e-14,5
2008,all,lit_only,theil_l,region,0.252890367158645,0.019750078396408903,0.2331402887622622,0.07809739302572621,0.921902606974377,,2.609024107869118e-14,5
2009,all,lit_only,theil_l,region,0.26194393587975884,0.019705701796315967,0.24223823408346568,0.07522870010383273,0.9247712998962543,,2.2815083156046967e-14,5
2010,all,lit_only,theil_l,region,0.22694597630851437,0.016199114281662614,0.21074686202686355,0.07137872433411753,0.9286212756659344,,1.1796119636642288e-14,5
2011,all,lit_only,theil_l,region,0.21764693643421634,0.015540372392346666,0.20210656404188215,0.07140175114315811,0.9285982488568992,,1.2490009027033011e-14,5
2012,all,lit_only,theil_l,region,0.2242964133480187,0.01647608379688438,0.2078203295511464,0.07345674213399062,0.9265432578660633,,1.2101430968414206e-14,5
2013,all,lit_only,theil_l,region,0.24434930998117899,0.017465981384348774,0.22688332859683621,0.071479560902767,0.9285204390972576,,5.995204332975845e-15,5
2014,all,lit_only,theil_l,region,0.24510289856681003,0.01736753264776992,0.2277353659190433,0.07085812835883655,0.9291418716411765,,3.191891195797325e-15,5
2015,all,lit_only,theil_l,region,0.272899666784868,0.01613756452575324,0.25676210225911866,0.059133690839112636,0.9408663091609017,,3.885780586188048e-15,5
2016,all,lit_only,theil_l,region,0.27503552872533354,0.01604810974073595,0.258987418984603,0.05834922424427036,0.9416507757557492,,5.384581669432009e-15,5
2017,all,lit_only,theil_l,region,0.3137453162110042,0.01714423927668545,0.296601076934323,0.05464380945580516,0.9453561905442085,,4.274358644806853e-15,5
2018,all,lit_only,theil_l,region,0.3150474605995932,0.016804739533525077,0.2982427210660739,0.05334034275833416,0.9466596572416842,,5.773159728050814e-15,5
2019,all,lit_only,theil_l,region,0.31381354067081707,0.01763676031182389,0.2961767803589956,0.05620139995910639,0.9437986000409012,,2.3869795029440866e-15,5
2020,all,lit_only,theil_l,region,0.3264141748116334,0.017879054375848143,0.3085351204357895,0.054774135915407966,0.9452258640846052,,4.274358644806853e-15,5
2021,all,lit_only,theil_l,region,0.3366633894405636,0.018557952673876242,0.3181054367666916,0.05512316829196708,0.9448768317080455,,4.218847493575595e-15,5
2022,all,lit_only,theil_l,region,0.3421636519355422,0.018621064394516447,0.3235425875410303,0.05442151522869629,0.945578484771317,,4.551914400963142e-15,5
1992,all,zeros_included,theil_l,region,,,,,,,,0
1993,all,zeros_included,theil_l,region,,,,,,,,0
1994,all,zeros_included,theil_l,region,,,,,,,,0
1995,all,zeros_included,theil_l,region,,,,,,,,0
1996,all,zeros_included,theil_l,region,,,,,,,,0
1997,all,zeros_included,theil_l,region,,,,,,,,0
1998,all,zeros_included,theil_l,region,,,,,,,,0
1999,all,zeros_included,theil_l,region,,,,,,,,0
2000,all,zeros_included,theil_l,region,,,,,,,,0
2001,all,zeros_included,theil_l,region,,,,,,,,0
2002,all,zeros_included,theil_l,region,,,,,,,,0
2003,all,zeros_included,theil_l,region,,,,,,,,0
2004,all,zeros_included,theil_l,region,,,,,,,,0
2005,all,zeros_included,theil_l,region,,,,,,,,0
2006,all,zeros_included,theil_l,region,,,,,,,,0
2007,all,zeros_included,theil_l,region,,,,,,,,0
2008,all,zeros_included,theil_l,region,,,,,,,,0
2009,all,zeros_included,theil_l,region,,,,,,,,0
2010,all,zeros_included,theil_l,region,,,,,,,,0
2011,all,zeros_included,theil_l,region,,,,,,,,0
2012,all,zeros_included,theil_l,region,,,,,,,,0
2013,all,zeros_included,theil_l,region,,,,,,,,0
2014,all,zeros_included,theil_l,region,,,,,,,,0
2015,all,zeros_included,theil_l,region,,,,,,,,0
2016,all,zeros_included,theil_l,region,,,,,,,,0
2017,all,zeros_included,theil_l,region,,,,,,,,0
2018,all,zeros_included,theil_l,region,,,,,,,,0
2019,all,zeros_included,theil_l,region,,,,,,,,0
2020,all,zeros_included,theil_l,region,,,,,,,,0
2021,all,zeros_included,theil_l,region,,,,,,,,0
2022,all,zeros_included,theil_l,region,,,,,,,,0
1992,all,lit_only,theil_t,municipality,0.28891027139331893,0.10701233020455479,0.1818979411887664,0.37039988121041745,0.6296001187895904,,2.275957200481571e-15,98
1993,all,lit_only,theil_t,municipality,0.27683962383676936,0.10041411123470309,0.17642551260206935,0.36271582023933624,0.6372841797606749,,3.0531133177191805e-15,98
1994,all,lit_only,theil_t,municipality,0.33274206021931707,0.1218996528236722,0.21084240739564836,0.3663487950496119,0.6336512049503986,,3.497202527569243e-15,98
1995,all,lit_only,theil_t,municipality,0.25414533079861135,0.08723058835581014,0.1669147424428053,0.34323112717318816,0.6567688728268279,,4.107825191113079e-15,98
1996,all,lit_only,theil_t,municipality,0.24583729827855813,0.08456926970878506,0.16126802856977646,0.34400504032939566,0.6559949596706182,,3.3861802251067274e-15,98
1997,all,lit_only,theil_t,municipality,0.26952331591242623,0.09122486762916882,0.17829844828326072,0.3384674432352624,0.6615325567647499,,3.2751579226442118e-15,98
1998,all,lit_only,theil_t,municipality,0.2667602663097969,0.08962740480383752,0.17713286150596244,0.33598483778596344,0.6640151622140481,,3.1086244689504383e-15,98
1999,all,lit_only,theil_t,municipality,0.27601481395338956,0.09279752283310555,0.18321729112028723,0.3362048634417724,0.6637951365582393,,3.219646771412954e-15,98
2000,all,lit_only,theil_t,municipality,0.26717118607540347,0.09187853561643844,0.17529265045896908,0.34389387929919824,0.6561061207008169,,4.052314039881821e-15,98
2001,all,lit_only,theil_t,municipality,0.24477158432497234,0.08456845644980647,0.16020312787516905,0.3454994855020781,0.6545005144979349,,3.191891195797325e-15,98
2002,all,lit_only,theil_t,municipality,0.25275664192209324,0.0868417803916739,0.16591486153042248,0.34357862856257204,0.6564213714374404,,3.1086244689504383e-15,98
2003,all,lit_only,theil_t,municipality,0.319014640198103,0.10788001132021775,0.2111346288778891,0.33816633384983835,0.6618336661501738,,3.885780586188048e-15,98
2004,all,lit_only,theil_t,municipality,0.3088989409421402,0.10614853364715575,0.20275040729498892,0.343635149163682,0.6563648508363324,,4.440892098500626e-15,98
2005,all,lit_only,theil_t,municipality,0.3041565015605647,0.10409883701977295,0.20005766454079638,0.3422541898189358,0.6577458101810795,,4.6629367034256575e-15,98
2006,all,lit_only,theil_t,municipality,0.29261531470950475,0.09972205018511376,0.19289326452439542,0.3407957313653023,0.6592042686347129,,4.440892098500626e-15,98
2007,all,lit_only,theil_t,municipality,0.2835861755649993,0.09626758440618755,0.18731859115881605,0.33946501170020027,0.6605349882998148,,4.274358644806853e-15,98
2008,all,lit_only,theil_t,municipality,0.2642830859091245,0.08822353890433289,0.17605954700479584,0.3338221157848487,0.6661778842151672,,4.218847493575595e-15,98
2009,all,lit_only,theil_t,municipality,0.2708914521675627,0.09110895750763509,0.17978249465993207,0.33633013068008766,0.6636698693199287,,4.440892098500626e-15,98
